,Theme,Category,Source,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I1,Acorns 1,2,Pixabay,4.666666667,0.953462589,45,4.714285714,0.966987557,56,2.244897959,1.57494196,49,2.442307692,1.637950196,52
I2,Acorns 2,2,Pixabay,4.409090909,0.69275929,44,4.603448276,0.935454766,58,2.510638298,1.516178555,47,1.942307692,1.194980704,52
I3,Acorns 3,2,Pixabay,4.688888889,0.848051838,45,4.821428571,1.046329391,56,2.346938776,1.507633637,49,2.269230769,1.535404202,52
I4,Alcohol 1,2,Pixabay,4.701754386,1.362310436,57,4.666666667,0.972967968,51,2.653061224,1.714533712,49,3.054545455,1.671306672,55
I5,Alcohol 2,2,Pixabay,4.280701754,1.278313425,57,4.215686275,0.965685777,51,2.816326531,1.641562637,49,3.163636364,1.75080549,55
I6,Alcohol 3,2,Pixabay,4.140350877,1.042637392,57,4.196078431,0.848990173,51,2.469387755,1.430356028,49,2.236363636,1.346650665,55
I7,Alcohol 4,2,Pixabay,4.736842105,1.203066258,57,4.803921569,1.149253807,51,2.775510204,1.661642086,49,2.945454545,1.648997247,55
I8,Alcohol 5,2,Pixabay,5.386363636,1.039138934,44,5.293103448,1.19954115,58,3.404255319,1.469391688,47,3.673076923,1.700301632,52
I9,Alcohol 6,2,Pixabay,4.49122807,1.182050383,57,4.588235294,0.875818944,51,2.612244898,1.591858538,49,2.672727273,1.678342938,55
I10,Alcohol 7,2,Pixabay,4.431034483,1.125650985,58,4.534883721,1.202157529,43,3.204081633,1.593993829,49,3.075471698,1.730374088,53
I11,Alcohol 8,2,Pixabay,5.25862069,1.068863059,58,5.76744186,1.087531265,43,3.591836735,1.63195138,49,3.981132075,1.886088403,53
I12,Ambulance 1,2,Pixabay,2.614035088,1.097958917,57,2.019607843,0.948476591,51,3.755102041,1.774009257,49,4.527272727,1.772783389,55
I13,Ambulance 2,2,Pixabay,3.482758621,1.158362112,58,2.76744186,0.781854002,43,3.530612245,1.672099987,49,3.326923077,1.790181871,52
I14,Ambulance 3,2,Pixabay,3.637931034,1.037849934,58,2.813953488,1.006072372,43,3.551020408,1.720722044,49,3.660377358,1.870246757,53
I15,Angry face 1,3,Pixabay,3.477272727,0.976196615,44,3.310344828,0.940453354,58,3.29787234,1.381789854,47,3.269230769,1.573249224,52
I16,Angry face 2,3,Wikipedia,3.155555556,0.952402597,45,3.053571429,1.085769821,56,3.836734694,1.585703561,49,3.25,1.73629084,52
I17,Angry face 3,3,Wikipedia,2.555555556,0.966614419,45,2.482142857,1.128008243,56,3.857142857,1.802775638,49,3.480769231,1.776650126,52
I18,Angry face 4,3,Flickr/Jan Tik,2.511111111,1.198905225,45,2.5,1.095445115,56,3.795918367,1.978842168,49,3.942307692,1.753578543,52
I19,Angry face 5,3,Flickr/Bart,3.068181818,1.065259599,44,2.689655172,0.977050638,58,3.276595745,1.690152137,47,3.865384615,1.782582904,52
I20,Angry pose 1,3,Pixabay,3,1.017700489,57,2.607843137,1.040738802,51,3.326530612,1.748663241,49,3.872727273,1.805901288,55
I21,Angry pose 2,3,Flickr/madstreetz,2.947368421,1.1247389,57,2.647058824,0.820329919,51,3.265306122,1.538065752,49,4.127272727,1.876309868,55
I22,Animal carcass 1,1,Wikipedia,2.964912281,1.322401931,57,2.450980392,1.082843026,51,3.469387755,2.011446834,49,4.036363636,2.072425993,55
I23,Animal carcass 2,1,Wikipedia,3.477272727,1.190830009,44,3.086206897,1.525047975,58,3.893617021,1.618292747,47,4.230769231,1.722007317,52
I24,Animal carcass 3,1,Wikipedia,3.070175439,1.437503405,57,2.392156863,1.184540947,51,3.897959184,1.992118826,49,4.890909091,1.959523064,55
I25,Animal carcass 4,1,Wikipedia,3.911111111,1.258105036,45,3.732142857,1.44588534,56,4.163265306,1.559205711,49,4.230769231,1.687501746,52
I26,Animal carcass 5,1,Wikipedia,1.818181818,1.166842834,44,1.465517241,0.921773981,58,4,2.386556552,47,5,2.057983022,52
I27,Animal carcass 6,1,Wikipedia,2.736842105,1.506252632,57,2.019607843,1.348928405,51,4.12244898,2.107848954,49,5.254545455,2.110100768,55
I28,Archery 1,3,Pixabay,4.533333333,1.272077756,45,4.125,1.26580912,56,3.897959184,1.530861658,49,3.615384615,1.561219309,52
I29,Archery 2,3,Pixabay,4.613636364,0.841258998,44,4.965517241,1.042357605,58,3.425531915,1.556817837,47,3.442307692,1.719706559,52
I30,Astronaut 1,3,Pixabay,5.859649123,1.109031052,57,5.549019608,1.045250697,51,4.591836735,1.801832023,49,4.545454545,1.761924262,55
I31,Astronaut 2,3,Pixabay,5.422222222,1.157758196,45,4.928571429,1.109580475,56,3.87755102,1.615454697,49,3.480769231,1.565440295,52
I32,Baby 1,3,Pixabay,5.98245614,1.043538419,57,6.392156863,0.896179254,51,3.734693878,1.93407504,49,4.4,1.558726926,55
I33,Baby 2,3,Pixabay,5.789473684,1.081283003,57,6.294117647,0.9652796,51,3.367346939,1.764155576,49,3.927272727,1.874334899,55
I34,Baby 3,3,Pixabay,5.534482759,1.187885003,58,6.255813953,1.002212392,43,3.673469388,1.795686441,49,4.547169811,1.612046451,53
I35,Baby 4,3,Pixabay,5.689655172,1.273300678,58,6.23255814,1.130469968,43,3.979591837,1.865138466,49,4.528301887,1.846032894,53
I36,Baby 5,3,Pixabay,5.859649123,1.140779754,57,6.450980392,0.878947677,51,3.510204082,1.827138576,49,3.909090909,1.828506041,55
