Submission id,Participant id,Status,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
645ea35515ea36be890133cd,5915cec595ded300017c8261,APPROVED,2023-05-12T20:36:45.799000Z,2023-05-12T20:59:08.404000Z,2023-05-12T21:17:22.430000Z,2023-05-12T20:59:08.879907Z,1343,CXB1WCL3,1141,English,26,Male,White,United States,United States,United States,English,Yes,Part-Time
645ea6a4631d8f032fedb750,5fc91004cd2df83262592c41,APPROVED,2023-05-12T20:50:48.520000Z,2023-05-12T21:13:56.356000Z,2023-05-12T21:17:22.601000Z,2023-05-12T21:13:56.869273Z,1388,CXB1WCL3,22,English,23,Male,White,United States,United States,United States,English,No,DATA_EXPIRED
645eab145184d79629df72ff,60c3913db2a29a7b2924f0ea,APPROVED,2023-05-12T21:09:44.062000Z,2023-05-12T21:25:04.361000Z,2023-05-12T21:26:45.553000Z,2023-05-12T21:25:07.716739Z,921,CXB1WCL3,115,English,24,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645eb1415aeafb6edc75c722,60cbde84eb3169645f11cdbc,APPROVED,2023-05-12T21:36:15.491000Z,2023-05-12T22:06:03.187000Z,2023-05-15T18:02:05.338000Z,2023-05-12T22:06:03.645789Z,1788,CXB1WCL3,1097,"English, Spanish",44,Male,White,United States,United States,United States,English,DATA_EXPIRED,Other
645eb27dbf64b59f0520d06e,609b6007c0896ac992a5004a,APPROVED,2023-05-12T21:41:19.632000Z,2023-05-12T21:55:34.159000Z,2023-05-15T18:02:05.546000Z,2023-05-12T21:55:34.610135Z,855,CXB1WCL3,273,English,33,Male,White,United States,United States,United States,English,No,Full-Time
645eb2e1d0c1eb1616733032,5e80a85916cd8c000ad9cd65,APPROVED,2023-05-12T21:46:18.752000Z,2023-05-12T21:59:24.897000Z,2023-05-15T18:02:06.047000Z,2023-05-12T21:59:25.291309Z,787,CXB1WCL3,1178,English,37,Male,White,United States,United States,United States,English,No,Full-Time
645eb58d2e927997c11b1caf,62c61250e85c96fc1794c7db,APPROVED,2023-05-12T21:54:41.775000Z,2023-05-12T22:14:58.997000Z,2023-05-15T18:02:06.227000Z,2023-05-12T22:15:00.183077Z,1218,CXB1WCL3,971,"English, Spanish",29,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
645eb6099bfb4d2b45b0bf27,5ecde9a33086051849f0c86d,APPROVED,2023-05-12T21:56:29.549000Z,2023-05-12T22:21:40.568000Z,2023-05-15T18:02:06.409000Z,2023-05-12T22:21:40.969005Z,1512,CXB1WCL3,806,"Bengali, English",27,Male,Asian,United States,United States,United States,English,Yes,DATA_EXPIRED
645eb98f134b8bf2732b52d6,63233b6cfc33c42fb00e3d9b,APPROVED,2023-05-12T22:11:32.347000Z,2023-05-12T22:28:14.092000Z,2023-05-15T18:02:06.586000Z,2023-05-12T22:28:15.059474Z,1002,CXB1WCL3,118,English,35,Male,White,United States,United States,United States,English,No,Full-Time
645eb99f7c2315e4fc71be51,629ead3c5e29d7f23db979d0,APPROVED,2023-05-12T22:11:53.269000Z,2023-05-12T22:50:34.574000Z,2023-05-15T18:02:06.763000Z,2023-05-12T22:50:35.055379Z,2322,CXB1WCL3,462,English,40,Male,White,United States,United States,United States,English,No,Full-Time
