trial_number,highcue_indx,cue_observed_mean,Image,Theme,Category,Pair,Half,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women,Valence_gender_difference,cue_mean,cue_observed_std,image_cue_values_1,image_cue_values_2,image_cue_values_3,image_cue_values_4,image_cue_values_5,image_cue_values_6,image_cue_values_7,image_cue_values_8,image_cue_values_9,image_cue_values_10,cue_deviation_from_norm
1,-1,2.16359901210507,769,Snake_3,Animal,27,1,Wikipedia,2.91176470588235,1.3795030040373,102,4.57425742574257,1.96135939926096,101,3.088888889,1.534781924,45,2.785714286,1.246293205,56,4.387755102,1.987631825,49,4.75,1.939021382,52,0.303174603,2.11176470588235,0.840496746860327,1.27295524538986,1.93854413939467,1.52045110750962,2.70649681775751,3.72636578710469,1.05879175484277,2.69801669746691,2.40746745215737,1.52197584348866,2.78492527593868,-0.748165693777277
2,1,5.13475904362557,832,Thunderstorm_8,Scene,29,1,Pixabay,4.37254901960784,1.3637569585992,102,4.74257425742574,1.84202858472139,101,4.613636364,1.297867824,44,4.189655172,1.394939432,58,4.723404255,1.702965797,47,4.769230769,1.986378956,52,0.423981192,5.17254901960784,0.501801828505113,4.92343842425882,5.53432122666414,5.79378460281899,4.72652407856706,5.25017730440222,4.95509058128269,4.7678790141283,5.50541628538679,5.6775059134528,4.21345300529385,0.762210024017726
3,-1,4.81963446415318,895,Yoga_1,Person,32,1,Pixabay,5.56481481481481,1.06141457497313,108,3.47115384615385,1.61880173093024,104,5.596491228,1.147351751,57,5.529411765,0.966497619,51,3.612244898,1.617821665,49,3.345454545,1.624102964,55,0.0670794629999997,4.76481481481481,0.741551096568847,3.75574118632881,4.55169771250355,3.77894089650919,5.67582859347115,4.82458815510664,5.10008199278702,4.58082887879119,5.87560287968713,4.4820274611752,5.5710068851719,-0.745180350661632
4,-1,1.88720318455416,167,Cockroach_2,Animal,12,1,Pixabay,2.26470588235294,1.29680850123522,102,4.10891089108911,2.16749159213599,101,2.340909091,1.256484239,44,2.206896552,1.334542706,58,3.446808511,1.987006823,47,4.807692308,2.114733206,52,0.134012538999999,1.46470588235294,0.657177479712315,1.08116574296125,2.66369234339715,2.10321672816705,2.50689507736883,1.44598224803617,2.80578284641345,2.10847985824845,1.09326244412752,1.19030724361632,1.87324731320542,-0.377502697798778
5,-1,3.52141529836917,728,Shark_3,Animal,26,1,Pixabay,3.81188118811881,1.22239822715127,101,4.33980582524272,1.64229274251657,103,3.775862069,1.257163382,58,3.860465116,1.186860511,43,4.448979592,1.646476345,49,4.226415094,1.659952611,53,0.0846030469999998,3.01188118811881,0.663289268114848,2.77486417710389,4.62691400638188,4.18250038861321,3.61932410389969,3.31852624090708,3.59046993910657,3.28453172779354,3.66410631174861,3.85591532233371,2.29700076580351,-0.290465889749639
6,1,3.63066058927508,22,Animal_carcass_1,Animal,4,1,Wikipedia,2.72222222222222,1.2367679716003,108,3.76923076923077,2.0537948263999,104,2.964912281,1.322401931,57,2.450980392,1.082843026,51,3.469387755,2.011446834,49,4.036363636,2.072425993,55,0.513931889,3.52222222222222,0.689417615279822,3.40983728437996,4.2386834590651,3.53334853778959,3.1843622748637,3.96649438242207,2.56711558889576,3.94125958264581,3.37767354248466,5.0197786600196,3.06805258018453,0.908438367052858
7,-1,1.88340321835575,362,Frustrated_pose_1,Person,19,1,Wikipedia,2.35294117647059,1.03068811796078,102,4.24752475247525,1.80779390746877,101,2.644444444,1.227628082,45,2.142857143,0.772918235,56,4.367346939,1.822245382,49,4.134615385,1.804448166,52,0.501587300999999,1.55294117647059,0.652255235728546,2.62472455871187,2.51380996714779,1.12445864166728,1.19028286330215,1.40146439689,1.33168345325815,2.52266337604882,1.30913444915583,2.396798863015,2.41901161436061,-0.469537958114839
8,-1,1.67107540359559,494,Miserable_pose_1,Person,22,1,Wikipedia,2.55882352941176,0.970592647490016,102,3.43564356435644,1.65780482315717,101,2.622222222,1.093137455,45,2.535714286,0.852041094,56,3.448979592,1.696334584,49,3.423076923,1.63714426,52,0.0865079359999998,1.75882352941176,0.633512727776111,1.34321822572633,1.00260082485345,1.75912249448152,2.94438545685974,1.52675371684303,1.14361357133547,1.06535297244079,2.0137564409429,1.4645916232673,2.44735870920544,-0.887748125816166
9,-1,4.11297770354869,1,Acorns_1,Object,1,1,Pixabay,4.68627450980392,0.954202711685196,102,2.34653465346535,1.60272045949602,101,4.666666667,0.953462589,45,4.714285714,0.966987557,56,2.244897959,1.57494196,49,2.442307692,1.637950196,52,0.0476190469999995,3.88627450980392,0.807479032220459,4.53691611719456,5.14134492763923,3.05806827670969,3.80845140714232,3.4265384443059,5.20208840732527,3.25901789597197,4.81832851391842,3.44907331812175,4.42994972715782,-0.573296806255228
10,1,3.18075949182935,309,Feces_1,Object,16,1,Wikipedia,2.13725490196078,1.03444839355868,102,3.06930693069307,1.94554581412299,101,2.204545455,1.152944571,44,2.086206897,0.941899588,58,2.893617021,1.747470751,47,3.288461538,2.117495176,52,0.118338558,2.93725490196078,0.867689776553562,5.08924590249847,3.00556535505985,2.90533865457546,3.5380338755847,1.84272177778486,3.72701475009609,2.3439547077563,3.33450991565466,3.13087274670586,2.8903372325772,1.04350458986857
