Image,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,...1,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women
I132,Cat 3,Animal,Pixabay,6,1.11907839251687,108,4.22115384615385,1.90021322650871,104,I132,5.684210526,1.283937787,57,6.352941176,0.770026738,51,3.918367347,2.008697077,49,4.490909091,1.772973306,55
I879,Wedding 6,Person,Pixabay,6,0.989949493661167,101,3.92233009708738,1.53194302093107,103,I879,5.724137931,0.987520436,58,6.372093023,0.873505685,43,4.081632653,1.304427312,49,3.79245283,1.724913494,53
I271,Dog 21,Animal,Pixabay,5.99019607843137,0.969792241088553,102,4.04950495049505,1.67556699432617,101,I271,5.755555556,1.069314894,45,6.160714286,0.848030568,56,3.734693878,1.788569147,49,4.346153846,1.51960541,52
I513,Mother 9,Person,Flickr/Graco Children Products,5.98148148148148,1.11053983236984,108,3.63461538461538,1.80106598590564,104,I513,5.807017544,1.059625886,57,6.176470588,1.143781139,51,3.265306122,1.879444845,49,3.963636364,1.677339564,55
I186,Couple 4,Person,Pixabay,5.97058823529412,1.23845865840289,102,4.53465346534653,1.45302688506196,101,I186,5.931818182,1.189053313,44,6,1.284181766,58,4.468085106,1.44238727,47,4.596153846,1.498490945,52
I457,Lake 3,Scene,Pixabay,5.96296296296296,0.926514177970269,108,3.22115384615385,1.96551201743074,104,I457,5.789473684,0.920730341,57,6.156862745,0.902719204,51,3.326530612,1.841509289,49,3.127272727,2.08215118,55
I337,Fireworks 4,Scene,Wikipedia,5.9537037037037,0.910830567450926,108,4.31730769230769,1.72511107326047,104,I337,5.789473684,0.958735069,57,6.137254902,0.825096548,51,3.979591837,1.613611321,49,4.618181818,1.779418435,55
I345,Flowers 2,Object,Pixabay,5.95098039215686,1.04717867994461,102,3.45544554455446,1.79178543623531,101,I345,5.590909091,1.167748416,44,6.224137931,0.859275571,58,3.127659574,1.568951759,47,3.711538462,1.963755291,52
I459,Lake 5,Scene,Pixabay,5.95049504950495,1.06184968450118,101,4.30097087378641,1.87781136399565,103,I459,5.75862069,1.06475176,58,6.209302326,1.013201892,43,4.183673469,1.810541694,49,4.396226415,1.964488803,53
I349,Flowers 6,Object,Pixabay,5.94444444444444,0.915426802387605,108,3.00961538461538,1.66339921185909,104,I349,5.754385965,0.95020114,57,6.156862745,0.833607798,51,2.775510204,1.503680292,49,3.218181818,1.781498631,55
I255,Dog 5,Animal,Pixabay,5.94059405940594,1.07537697741971,101,4.66990291262136,1.83852215542044,103,I255,5.672413793,1.08236147,58,6.302325581,0.964485644,43,4.285714286,1.870828693,49,5.018867925,1.770382032,53
I269,Dog 19,Animal,Pixabay,5.94059405940594,0.967696049162317,101,4.3495145631068,1.64321980595056,103,I269,5.706896552,0.973483899,58,6.255813953,0.875405301,43,4.204081633,1.554289653,49,4.471698113,1.738741516,53
I434,Horse 1,Animal,Pixabay,5.93518518518519,1.05257271063824,108,3.72115384615385,1.71490740087542,104,I434,5.736842105,1.110442572,57,6.156862745,0.94599258,51,3.469387755,1.595593422,49,3.945454545,1.799363898,55
I509,Mother 5,Person,Pixabay,5.93518518518519,1.01643640039117,108,3.50961538461538,1.62501795244866,104,I509,5.789473684,1.064640149,57,6.098039216,0.943502029,51,3.510204082,1.659850006,49,3.509090909,1.60868853,55
I512,Mother 8,Person,Pixabay,5.93137254901961,1.24486910458723,102,3.97029702970297,1.79697215083904,101,I512,5.822222222,1.230094026,45,6.017857143,1.271950134,56,3.693877551,1.793554218,49,4.230769231,1.778029143,52
I62,Beach 4,Scene,Wikipedia,5.92592592592593,0.973515680155425,108,3.625,1.74148413437828,104,I62,6.070175439,0.903557436,57,5.764705882,1.031275624,51,3.959183673,1.606745983,49,3.327272727,1.816126785,55
I506,Mother 2,Person,Pixabay,5.92592592592593,1.02038753590668,108,3.84615384615385,1.71101077700118,104,I506,5.807017544,1.007801647,57,6.058823529,1.027847551,51,3.775510204,1.73523901,49,3.909090909,1.702642035,55
I35,Baby 4,Person,Pixabay,5.92079207920792,1.23841163041076,101,4.27184466019417,1.85870593164676,103,I35,5.689655172,1.273300678,58,6.23255814,1.130469968,43,3.979591837,1.865138466,49,4.528301887,1.846032894,53
I189,Couple 7,Person,Pixabay,5.91666666666667,0.958240209480598,108,4.25,1.36353338828606,104,I189,5.842105263,0.882153892,57,6,1.039230485,51,4.06122449,1.375502382,49,4.418181818,1.342895008,55
I351,Flowers 8,Object,Pixabay,5.91176470588235,0.965780258881368,102,3.7029702970297,1.70613337377501,101,I351,5.727272727,0.949017518,44,6.051724138,0.962861485,58,3.595744681,1.740309499,47,3.730769231,1.681681985,52
I74,Bird 1,Animal,Pixabay,5.90740740740741,1.00964541788252,108,3.00961538461538,1.73762024691227,104,I74,5.947368421,0.914585242,57,5.862745098,1.113904984,51,3.06122449,1.748906364,49,2.963636364,1.742323229,55
I621,Picnic 2,Person,Pixabay,5.90740740740741,1.05491317831203,108,3.47115384615385,1.6660908888437,104,I621,5.807017544,1.076346275,57,6.019607843,1.029372548,51,3.326530612,1.736708514,49,3.6,1.605545944,55
I252,Dog 2,Animal,Pixabay,5.9009900990099,1.03445590041383,101,4.39805825242718,1.63503196482061,103,I252,5.706896552,1.059768606,58,6.162790698,0.949441755,43,4.265306122,1.538065752,49,4.509433962,1.738950186,53
I270,Dog 20,Animal,Pixabay,5.9009900990099,0.943450586888889,101,4.19417475728155,1.63334285167605,103,I270,5.689655172,0.940453354,58,6.186046512,0.879821788,43,4.081632653,1.511576642,49,4.283018868,1.758248238,53
I96,Bridge 1,Scene,Pixabay,5.89108910891089,0.999009410356178,101,3.55339805825243,1.77525560346764,103,I96,5.620689655,0.97021586,58,6.255813953,0.928209317,43,3.551020408,1.581945328,49,3.528301887,1.957272175,53
I264,Dog 14,Animal,Flickr/hairygrumpy,5.89108910891089,0.988948836887024,101,4.19417475728155,1.6152353827568,103,I264,5.75862069,1.031271483,58,6.069767442,0.910137322,43,3.836734694,1.504810879,49,4.528301887,1.671063383,53
I352,Flowers 9,Object,Pixabay,5.89108910891089,1.13930671988723,101,4.07766990291262,1.77504112290585,103,I352,5.620689655,1.18214177,58,6.255813953,0.978166975,43,3.836734694,1.624640201,49,4.301886792,1.90732299,53
I814,Sunset 5,Scene,Pixabay,5.87962962962963,1.12505528497673,108,3.53846153846154,1.88464967733352,104,I814,5.807017544,1.201763533,57,5.960784314,1.038475504,51,3.571428571,1.71998062,49,3.509090909,2.035542764,55
