Image,Theme,Category,Source,Valence_mean,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women,Valence_gender_difference
I4,Alcohol_1,Object,Pixabay,4.68518518518519,1.18911062459953,108,2.86538461538462,1.69555496718665,104,4.701754386,1.362310436,57,4.666666667,0.972967968,51,2.653061224,1.714533712,49,3.054545455,1.671306672,55,0.03508771899999985
I19,Angry_face_5,Person,Flickr/Bart,2.85294117647059,1.02828376504544,102,3.55445544554455,1.75769876557249,101,3.068181818,1.065259599,44,2.689655172,0.977050638,58,3.276595745,1.690152137,47,3.865384615,1.782582904,52,0.37852664599999963
I31,Astronaut_2,Person,Pixabay,5.13725490196078,1.15217586396799,102,3.67326732673267,1.59442096631404,101,5.422222222,1.157758196,45,4.928571429,1.109580475,56,3.87755102,1.615454697,49,3.480769231,1.565440295,52,0.4936507930000005
I44,Bar_1,Scene,Pixabay,4.90196078431373,1.18162334989673,102,3.45544554455446,1.6032763484518,101,5.068181818,1.02066388,44,4.775862069,1.284770489,58,3.744680851,1.594393508,47,3.173076923,1.605397194,52,0.2923197489999998
I70,Bed_1,Object,Flickr/Hannah,4.01980198019802,0.916299056201653,101,2.99029126213592,1.72919082079649,103,4.034482759,0.935939667,58,4,0.899735411,43,2.93877551,1.586507738,49,3.075471698,1.858960179,53,0.03448275900000031
I115,Car_2,Object,Pixabay,3.92079207920792,1.09254902239517,101,2.87378640776699,1.56981085191619,103,3.862068966,1.099414132,58,4,1.091089451,43,3.163265306,1.760053725,49,2.641509434,1.331487595,53,0.13793103400000017
I135,Cat_6,Animal,Pixabay,4.7156862745098,1.4649532887521,102,4.02970297029703,1.68793036316404,101,4.681818182,1.253325386,44,4.74137931,1.617452457,58,3.595744681,1.59700228,47,4.403846154,1.717951532,52,0.05956112800000035
I150,Cemetery_5,Scene,Pixabay,2.50980392156863,1.22470524268888,102,4.7029702970297,1.83054393258094,101,2.511111111,1.160372633,45,2.535714286,1.278696577,56,4.346938776,1.920839881,49,5.038461538,1.691519081,52,0.0246031750000002
I159,Chipmunk_2,Animal,Flickr/Gilles Gonthier,5.73529411764706,0.932647361416487,102,4.23,1.71655633655457,100,5.613636364,0.894840744,44,5.827586207,0.957664026,58,4.085106383,1.612853092,47,4.294117647,1.803265013,51,0.21394984299999997
I180,Cotton_swabs_1,Object,Pixabay,4.09803921568627,0.738070858729912,102,2.18811881188119,1.39077583590691,101,4.136363636,0.667898791,44,4.068965517,0.791668657,58,2.361702128,1.389800297,47,1.923076923,1.28102523,52,0.06739811899999992
I204,Dancing_6,Person,Pixabay,5.80555555555556,0.941844812636531,108,3.69230769230769,1.5646391257177,104,5.701754386,0.999373237,57,5.921568627,0.868173652,51,3.612244898,1.617821665,49,3.763636364,1.527084324,55,0.2198142409999999
I211,Depressed_face_1,Person,Pixabay,3.76470588235294,0.88077902723472,102,3.06930693069307,1.51167076933156,101,3.795454545,0.878146713,44,3.74137931,0.889714025,58,3.29787234,1.428207962,47,2.903846154,1.575045787,52,0.054075235
