"","x"
"1","Alcohol_1"
"2","Angry_face_2"
"3","Angry_face_4"
"4","Animal_carcass_2"
"5","Animal_carcass_4"
"6","Baby_7"
"7","Baby_10"
"8","BDSM_1"
"9","Bear_1"
"10","Bird_5"
"11","Building_1"
"12","Cat_8"
"13","Child_labor_3"
"14","Cockroach_2"
"15","Cold_1"
"16","Desert_1"
"17","Dessert_7"
"18","Doctor_1"
"19","Doctor_8"
"20","Doctor_9"
"21","Dog_17"
"22","Dog_29"
"23","Excited_face_7"
"24","Exercise_2"
"25","Feces_2"
"26","Fence_5"
"27","Galaxy_2"
"28","Garbage_dump_5"
"29","Gargoyle_2"
"30","Goat_1"
"31","Grass_1"
"32","Hallway_1"
"33","Intensity_1"
"34","Jail_4"
"35","Knife_1"
"36","Lake_11"
"37","Lake_17"
"38","Miserable_face_2"
"39","Nude_couple_1"
"40","Nude_couple_2"
"41","Nude_woman_12"
"42","Orangutan_1"
"43","Performance_1"
"44","Picnic_3"
"45","Plane_crash_2"
"46","Power_lines_1"
"47","Sad_face_1"
"48","Sad_face_7"
"49","Scared_face_2"
"50","Scared_face_3"
"51","Shot_1"
"52","Snake_2"
"53","Snake_3"
"54","Statue_1"
"55","Surgery_1"
"56","Surgery_4"
"57","Surprise_1"
"58","Thunderstorm_3"
"59","Thunderstorm_5"
"60","Thunderstorm_8"
"61","Tornado_1"
"62","Traffic_1"
"63","Weapon_1"
"64","Wedding_8"
