SUBJ,Name,Encode,Stim,Vcat,Acat,Vrate,Arate,Vrt,Art,Recall,Rrt,VrateOASIS,ArateOASIS
AMYR21PT02,Ambulance 2,1,0,0,0,4,7,5.6329257999314,8.66591480001807,999,999,3.17821782178218,3.41176470588235
AMYR21PT02,Parachuting 2,1,0,1,1,7,6,2.16648500005249,4.78292160003912,999,999,5.43137254901961,4.33663366336634
AMYR21PT02,Explosion 3,1,0,0,1,3,4,3.7330762000056,7.63273710000794,999,999,2.64814814814815,4.92307692307692
AMYR21PT02,Child labor 1,1,0,1,0,4,4,2.99971949995961,7.71595700003672,999,999,4.25925925925926,3.27884615384615
AMYR21PT02,Frustrated pose 2,1,1,0,0,4,4,3.11643799999729,6.43279340001754,999,999,2.63725490196078,3.48514851485149
AMYR21PT02,Rock climbing 2,1,1,1,1,6,5,3.19979069998953,5.99958469998091,999,999,4.67647058823529,4.64356435643564
AMYR21PT02,School 7,1,1,1,0,6,6,3.86635259992909,6.71607819991186,999,999,5.64705882352941,3.19
AMYR21PT02,Soldiers 7,1,1,0,1,3,3,3.83305420004763,7.16609000007156,999,999,2.61386138613861,4.07766990291262
AMYR21PT02,Miserable pose 5,1,0,0,0,4,4,3.56639159994666,8.032684899983,999,999,2.95098039215686,3.44554455445545
AMYR21PT02,Cold 6,1,0,1,1,5,5,2.99976140004583,5.39948520006146,999,999,4.96078431372549,4.28712871287129
AMYR21PT02,Police 1,1,0,0,1,4,4,4.64990770001896,9.79954440006986,999,999,2.58823529411765,4.27722772277228
AMYR21PT02,Beach 8,1,0,1,0,7,7,2.99959419993684,5.24943550000899,999,999,5.85294117647059,3.89108910891089
AMYR21PT02,Couple 4,1,1,1,1,6,6,3.73309340002015,5.13289910007734,999,999,5.97058823529412,4.53465346534653
AMYR21PT02,Bored face 1,1,1,0,0,4,4,1.93321189994458,4.76652919990011,999,999,3.64814814814815,2.375
AMYR21PT02,War 1,1,1,0,1,1,1,3.83297039999161,5.18280309997499,999,999,1.75925925925926,5
AMYR21PT02,Gazing 7,1,1,1,0,6,6,4.13300020003226,9.69917370006442,999,999,4.98039215686275,3.56435643564356
AMYR21PT02,Funeral 1,1,0,0,1,4,4,4.53294019994792,12.7988530999282,999,999,2.92156862745098,4.23762376237624
AMYR21PT02,Birthday 2,1,0,1,0,6,6,4.19960080005694,8.28263849997893,999,999,5.32673267326733,3.37864077669903
AMYR21PT02,Sleepy pose 3,1,0,0,0,4,2,3.33301990001928,9.39925769995898,999,999,3.70588235294118,2.35643564356436
AMYR21PT02,Couple 8,1,0,1,1,7,7,1.91645880008582,4.18291249999311,999,999,5.75925925925926,4.16346153846154
