Image,Theme,Category,Source,Valence_mean,Low_Valence,High_Valence,Correct_Group,Valence_SD,Valence_N,Arousal_mean,Arousal_SD,Arousal_N,Valence_mean_men,Valence_SD_men,Valence_N_men,Valence_mean_women,Valence_SD_women,Valence_N_women,Arousal_mean_men,Arousal_SD_men,Arousal_N_men,Arousal_mean_women,Arousal_SD_women,Arousal_N_women,Valence_gender_difference
I443,Jail_2,Scene,Pixabay,2.01980198,1,0,1,1.191471343,101,3.650485437,2.008358699,103,2.310344828,1.340422774,58,1.627906977,0.817174453,43,3.591836735,1.946346656,49,3.735849057,2.08613503,53,0.682437851
I166,Cockroach_1,Animal,Pixabay,2.058823529,1,0,1,1.175858897,102,4.346534653,2.174560386,101,2.068181818,0.974028491,44,2.051724138,1.316859819,58,3.744680851,2.131218116,47,5,2.019512657,52,0.01645768
I327,Fire_10,Scene,Pixabay,2.470588235,1,0,0,1.199883512,102,4.663366337,1.733650644,101,2.909090909,1.177663864,44,2.137931034,1.115257438,58,4.659574468,1.521963774,47,4.769230769,1.86416553,52,0.771159875
I444,Jail_3,Scene,Pixabay,2.519607843,1,0,1,1.19180695,102,3.900990099,1.857444214,101,2.681818182,1.094865974,44,2.396551724,1.25571892,58,3.574468085,1.728843303,47,4.230769231,1.956541412,52,0.285266458
I741,Shot_4,Object,Pixabay,2.549019608,1,0,1,1.190951454,102,3.603960396,1.794877199,101,2.533333333,1.272077756,45,2.589285714,1.124548972,56,3.755102041,1.820377848,49,3.461538462,1.77633174,52,0.055952381
I850,Tornado_3,Scene,Pixabay,2.663366337,1,0,1,1.227006338,101,4.67961165,1.848229636,103,2.862068966,1.191317653,58,2.395348837,1.23711521,43,4.714285714,1.744037461,49,4.641509434,1.971863036,53,0.466720129
I385,Garbage_dump_7,Scene,Pixabay,2.735294118,1,0,1,1.176725366,102,2.475247525,1.603708573,101,2.8,1.272077756,45,2.714285714,1.090692619,56,2.448979592,1.608068516,49,2.5,1.614881772,52,0.085714286
I738,Shot_1,Object,Pixabay,2.764705882,1,0,0,1.187196303,102,4.217821782,1.819911868,101,2.711111111,1.254486897,45,2.839285714,1.124548972,56,4.204081633,1.80253978,49,4.230769231,1.853617392,52,0.128174603
I149,Cemetery_4,Scene,Pixabay,2.794117647,1,0,1,1.188544624,102,4.336633663,1.909330918,101,2.954545455,1.119687362,44,2.672413793,1.233849077,58,4.085106383,1.815749782,47,4.596153846,1.942906811,52,0.282131662
I317,Ferret_1,Animal,Pixabay,2.803921569,1,0,0,1.19436976,102,4.485148515,1.905853412,101,2.704545455,0.794736916,44,2.879310345,1.427518841,58,4.14893617,1.966885901,47,4.903846154,1.72932737,52,0.17476489
I637,Plane_crash_2,Scene,Pixabay,2.81372549,1,0,1,1.19180695,102,3.871287129,1.683231216,101,3.066666667,1.321156518,45,2.642857143,1.034470816,56,3.857142857,1.755942292,49,3.884615385,1.628831485,52,0.423809524
I453,Knife_1,Object,Pixabay,3.245098039,1,0,1,1.2140781,102,3.623762376,1.70793141,101,3.422222222,1.389716925,45,3.125,1.045553355,56,3.673469388,1.700340102,49,3.576923077,1.730308301,52,0.297222222
I819,Surgery_4,Person,Wikipedia,3.485148515,1,0,0,1.188392708,101,3.893203883,1.862491592,103,3.517241379,1.188266898,58,3.441860465,1.201235982,43,3.87755102,1.821545281,49,3.924528302,1.930016507,53,0.075380914
I502,Monkey_3,Animal,All-free-download.com,3.62037037,1,0,0,1.228307799,108,3.567307692,1.699596886,104,3.894736842,1.291237094,57,3.31372549,1.086097529,51,3.183673469,1.589987806,49,3.909090909,1.734964268,55,0.581011352
I856,Volcano_1,Scene,Pixabay,3.752475248,1,0,1,1.22805489,101,3.980582524,1.674377745,103,3.862068966,1.146287308,58,3.604651163,1.329868144,43,3.897959184,1.673878953,49,4.075471698,1.696705593,53,0.257417803
I545,Nude_man_6,Person,Flickr/sea turtle,4,1,0,0,1.194044628,102,3.524752475,1.729705521,101,4.022727273,1.229267817,44,3.982758621,1.177141636,58,3.276595745,1.849819353,47,3.769230769,1.579468571,52,0.039968652
I783,Soldiers_2,Person,Pixabay,4.00990099,0,1,,1.195784675,101,3.504854369,1.638230672,103,4.051724138,1.289939667,58,3.953488372,1.068008569,43,3.673469388,1.612293334,49,3.339622642,1.674967235,53,0.098235766
